id,name,state,country,level,population,latitude,longitude,wiki
28671,Milltown,NJ,,city-us,6981,40.456,-74.443,16146
28667,Milltown,NJ,,city-us,3845,40.495,-75.019,10316
28674,Milltown,WI,,city-us,948,45.526,-92.509,3586
28666,Milltown,IN,,city-us,791,38.342,-86.275,3157
28668,Milltown,SD,,city-us,26,43.424,-97.802,1644
28662,Milltown,KY,,city-us,0,37.122,-85.407,118
28663,Milltown,WV,,city-us,0,38.045,-81.617,88
28664,Milltown,MO,,city-us,0,36.778,-90.605,474
28665,Milltown,AL,,city-us,0,33.054,-85.485,503
28669,Milltown,VA,,city-us,0,39.235,-77.626,124
28670,Milltown,TN,,city-us,0,35.584,-86.787,276
28672,Milltown,MT,,city-us,0,46.871,-113.882,684
28673,Milltown,DE,,city-us,0,39.731,-75.666,188
28675,Milltown,AR,,city-us,0,35.157,-94.150,251
28676,Milltown,WA,,city-us,0,48.308,-122.348,115
