id,name,state,county,country,level,population,latitude,longitude,wiki
11319,Deer Park,TX,Harris County,,city-us,33676,29.705,-95.124,8590
11328,Deer Park,NY,Suffolk County,,city-us,26803,40.762,-73.329,4651
11318,Deer Park,OH,Hamilton County,,city-us,5354,39.205,-84.395,4019
11326,Deer Park,WA,Spokane County,,city-us,4685,47.954,-117.477,6648
11316,Deer Park,IL,Cook County,,city-us,3656,42.166,-88.086,3046
11323,Deer Park,CA,Napa County,,city-us,697,38.533,-122.470,4750
11317,Deer Park,MD,Garrett County,,city-us,306,39.424,-79.325,4520
11327,Deer Park,WI,St. Croix County,,city-us,250,45.188,-92.385,3524
11322,Deer Park,MI,Luce County,,city-us,0,46.674,-85.616,2413
11324,Deer Park,FL,Osceola County,,city-us,0,28.091,-80.898,1423
