id,name,state,country,level,population,latitude,longitude,wiki
2055,Avery,MI,,city-us,669,44.979,-84.070,1950
2056,Avery,TX,,city-us,426,33.552,-94.781,3674
2051,Avery,CA,,city-us,277,38.204,-120.370,2544
2058,Avery,ID,,city-us,25,47.250,-115.802,2822
2049,Avery,MO,,city-us,0,38.068,-93.360,331
2050,Avery,MI,,city-us,0,41.823,-86.576,310
2052,Avery,IN,,city-us,0,40.309,-86.441,301
2053,Avery,OH,,city-us,0,41.328,-82.621,1637
2054,Avery,IA,,city-us,0,41.065,-92.714,475
2057,Avery,NE,,city-us,0,41.164,-95.922,226
