id,name,state,county,country,level,population,latitude,longitude,wiki
22334,Somerset,NJ,Somerset County,,city-us,24827,40.498,-74.488,6548
22326,Somerset,MA,Bristol County,,city-us,18271,41.770,-71.129,11482
22333,Somerset,KY,Pulaski County,,city-us,11954,37.092,-84.604,11684
22335,Somerset,PA,Somerset County,,city-us,5992,40.008,-79.078,6015
4309,Somerset,MI,Hillsdale County,,city-us,4532,42.051,-84.419,3612
22336,Somerset,WI,St. Croix County,,city-us,4346,45.145,-92.703,5300
22327,Somerset,CA,El Dorado County,,city-us,3642,38.648,-120.686,800
22330,Somerset,NY,Niagara County,,city-us,2583,43.336,-78.548,4140
22325,Somerset,TX,Bexar County,,city-us,1765,29.226,-98.658,3895
22332,Somerset,OH,Perry County,,city-us,1457,39.807,-82.297,5268
22329,Somerset,MD,Montgomery County,,city-us,1175,38.966,-77.096,5499
22337,Somerset,IN,Wabash County,,city-us,361,40.669,-85.828,428
22328,Somerset,CO,Gunnison County,,city-us,61,38.926,-107.470,747
22331,Somerset,VA,Orange County,,city-us,0,38.208,-78.218,825
