id,name,state,county,country,level,population,latitude,longitude,wiki
589,Anderson,IN,Madison County,,city-us,54817,40.105,-85.680,14836
582,Anderson,SC,Anderson County,,city-us,29284,34.503,-82.650,13620
591,Anderson,CA,Shasta County,,city-us,11386,40.448,-122.298,7565
590,Anderson,MO,McDonald County,,city-us,1992,36.651,-94.444,3451
592,Anderson,NJ,Warren County,,city-us,586,40.771,-74.919,606
583,Anderson,WI,Burnett County,,city-us,414,45.670,-92.776,2352
588,Anderson,AL,Lauderdale County,,city-us,256,34.928,-87.266,3480
586,Anderson,TX,Grimes County,,city-us,195,30.487,-95.987,10290
584,Anderson,AK,Denali Borough,,city-us,169,64.344,-149.187,4825
587,Anderson,WI,Iron County,,city-us,53,46.334,-90.464,1937
585,Anderson,AL,Etowah County,,city-us,0,34.071,-85.921,527
