id,name,state,county,country,level,population,latitude,longitude,wiki
23175,Trenton,NJ,Mercer County,,city-us,90457,40.217,-74.743,41473
23180,Trenton,MI,Wayne County,,city-us,18295,42.139,-83.178,19939
23163,Trenton,OH,Butler County,,city-us,13305,39.481,-84.458,4506
23179,Trenton,WI,Washington County,,city-us,4537,43.400,-88.095,4496
23170,Trenton,TN,Gibson County,,city-us,4263,35.981,-88.941,5465
23176,Trenton,NY,Oneida County,,city-us,4244,43.260,-75.206,3992
23165,Trenton,IL,Clinton County,,city-us,2649,38.606,-89.682,4913
23167,Trenton,GA,Dade County,,city-us,2201,34.872,-85.509,5266
23171,Trenton,FL,Gilchrist County,,city-us,2070,29.613,-82.818,5764
23177,Trenton,WI,Pierce County,,city-us,1737,44.604,-92.565,2208
23172,Trenton,ME,Hancock County,,city-us,1622,44.466,-68.391,3385
23168,Trenton,WI,Dodge County,,city-us,1216,43.571,-88.839,1741
23166,Trenton,TX,Collin County,,city-us,773,33.426,-96.345,5365
23164,Trenton,UT,Cache County,,city-us,516,41.918,-111.942,2354
23173,Trenton,NE,Hitchcock County,,city-us,492,40.176,-101.013,3757
23181,Trenton,ND,Williams County,,city-us,488,48.071,-103.837,727
23178,Trenton,KY,Todd County,,city-us,328,36.724,-87.263,1077
23174,Trenton,NC,Jones County,,city-us,234,35.067,-77.353,2317
23169,Trenton,SC,Edgefield County,,city-us,202,33.744,-81.841,2946
23162,Trenton,IN,Blackford County,,city-us,0,40.450,-85.239,3935
